textile_type,qty_exported,countries_exported,type_of_product,per_unit_cost,total_price,year_of_export,month_of_export,customer_name,seller_name
spandex,437,Bangladesh,Dress,35.72,15609.64,2022,Jun,Jennifer Brooks,Debra Salas
batik,13,Bangladesh,Dress,5.44,70.72,2021,Aug,Jean Walsh,Dean Harrison
wool,112,Hong Kong,Headwear,67.53,7563.36,2022,Jan,Joy Swanson,Thomas Brown
cotton,11,Pakistan,Scarf,15.81,173.91,2021,Jul,Haley Miranda,Bryan Chavez
flax,302,Malaysia,Blouse,40.56,12249.12,2022,Aug,Teresa Williams,Allison Banks
batik,354,India,Scarf,19.61,6941.94,2022,May,Tonya Gonzalez,Anthony Richardson
batik,405,Hong Kong,Scarf,71.52,28965.6,2021,Mar,Jamie Cruz,Joshua Thompson
batik,252,China,Blouse,56.85,14326.2,2021,Dec,Colin Weiss,Anne Morgan
spandex,61,China,Pants,9.12,556.32,2020,Nov,Oscar Morris,Bruce Perez
spandex,43,Hong Kong,Scarf,29.43,1265.49,2021,Jul,Michael Bryant,Joshua Campbell
silk,74,Indonesia,Scarf,97.72,7231.28,2022,Dec,Elaine Murphy,James Sosa
wool,110,Turkey,Shawl,24.65,2711.5,2020,Feb,Jose Wells,Mr. Cody Wheeler
batik,261,India,Dress,44.15,11523.15,2022,Mar,Kenneth Lane,Kendra Proctor
polyester,254,Japan,Scarf,42.79,10868.66,2020,Jun,Barry Evans,Kathy Nguyen
batik,225,Pakistan,Skirt,73.17,16463.25,2020,Jun,Michael Stone,Erika Coleman
batik,346,Japan,Shawl,82.94,28697.24,2022,Sep,Jade Gonzalez,Meredith Moore
linen,260,Japan,Dress,6.27,1630.2,2022,Jul,Clayton Sanchez,Jennifer Smith
rayon,388,Indonesia,Dress,16.8,6518.4,2020,Dec,Jill Delacruz,Jon Martinez
cotton,404,Pakistan,Shirt,22.32,9017.28,2022,Jan,Patrick Jackson MD,Aaron Sanchez
batik,258,Malaysia,Jacket,81.48,21021.84,2021,Aug,Danielle Wolfe,Brittany Morrow
batik,308,Japan,Dress,10.65,3280.2,2020,Feb,April Graham,Daniel Ritter
nylon,252,United Kingdom,Blouse,51.62,13008.24,2022,Nov,Sabrina Johnston,Michael Johnson
spandex,426,Hong Kong,Blouse,51.49,21934.74,2022,May,Cynthia Forbes,Tim Rose
silk,248,United States,Shirt,44.79,11107.92,2021,May,Lisa Chavez,Richard Camacho
batik,104,Bangladesh,Scarf,12.4,1289.6,2022,Oct,Norma Bird,Julie Yang
linen,262,Malaysia,Shirt,44.11,11556.82,2021,Feb,Stephen Gibson DDS,Alex Lane
nylon,6,Austria,Dress,77.26,463.56,2020,May,Christopher Huffman,Megan Gordon
flax,464,United States,Dress,22.23,10314.72,2021,Jul,Benjamin Wallace,Charles Joseph
cotton,431,Hong Kong,Scarf,26.85,11572.35,2022,Feb,Patrick Cuevas,Edward Tucker
silk,384,India,Dress,76.84,29506.56,2022,Jul,George Sanchez Jr.,Heather Phillips
wool,188,Hong Kong,Scarf,83.52,15701.76,2022,Sep,Cynthia Lewis,Eileen Lowe
batik,307,Indonesia,Scarf,81.72,25088.04,2022,Aug,George Stein,Michelle Green
jute,374,Pakistan,Skirt,6.34,2371.16,2022,Sep,Jeffrey Harris,Matthew Shea
spandex,264,Vietnam,Blouse,0.11,29.04,2020,Oct,Sarah Thompson,Zachary Johnson
polyester,319,Vietnam,Dress,53.71,17133.49,2022,Jul,Thomas Maxwell,Jennifer House
jute,55,Pakistan,Jacket,65.17,3584.35,2020,Jan,Alexis Clark,Taylor Riley
batik,276,India,Dress,68.93,19024.68,2020,Aug,Brittney Simmons,Tina Harrell
wool,417,Japan,Skirt,58.06,24211.02,2022,Jul,Brian Caldwell,Craig Kelly
jute,191,China,Shirt,18.53,3539.23,2021,Sep,Thomas Schmitt,Travis Weaver
batik,63,India,Jacket,59.29,3735.27,2021,May,Kevin Johnson,Stacey Thomas
rayon,122,Malaysia,Jacket,25.46,3106.12,2022,May,Tasha Ryan,Francisco Johnson
nylon,17,Bangladesh,Dress,34.89,593.13,2021,Mar,Alicia Ferguson,Colin Turner
