type_of_textile,qty_exported,countries_exported,type_of_product,price_of_product,year_of_export,month_of_export,customer_name,seller_name
wool,328,Spain,jacket,127.38,2020,5,Brian Davis,Alyssa Hart
wool,205,New Zealand,scarf,303.21,2022,11,Mary Garrett,Angela Hoover
rayon,310,Hong Kong,blouse,490.42,2020,7,Joel Young,Alexis Howard
batik,397,Italy,shawl,103.24,2022,11,Mark Thomas,Jennifer Walker
polyester,168,India,pants,204.97,2021,4,Brenda Henderson,Emma Howard
silk,290,Spain,bags,961.71,2021,11,Mark Russo,Courtney Hanson
rayon,238,China,shawl,267.11,2020,3,Sean Schmidt,Eric Jones
polyester,345,Netherlands,shirt,256.34,2020,1,Jonathan Scott,Erik Orr
linen,475,South Korea,bags,109.13,2021,9,Tara Brown,Thomas Johnson
batik,482,China,blouse,170.25,2021,6,Raymond Hernandez,Vincent Branch
silk,33,Netherlands,shirt,584.61,2022,11,Kelly Fields,Morgan Gonzalez
polyester,413,Italy,shawl,339.68,2021,1,John Hinton,Erin Jarvis
batik,436,Italy,jacket,33.39,2021,12,Brandon Hernandez,Christopher Lopez
cotton,326,Japan,dress,423.64,2022,8,Michael Gonzalez,Alexis Wiley
batik,191,Italy,skirt,871.04,2021,1,Bernard Green,Susan Weber
cotton,296,Australia,shirt,173.28,2022,4,Mr. Troy Stephenson,Richard Patterson DDS
linen,332,Japan,shawl,5.62,2022,4,Brandi Nguyen,Dr. Benjamin Martinez
batik,198,Germany,scarf,672.39,2020,6,Matthew Gomez,Brian Hill
silk,202,United Kingdom,scarf,711.79,2020,12,Shawn Pena,Gabriel Hernandez
cotton,45,New Zealand,dress,461.45,2022,5,Katelyn Davis,Andrew Gray DDS
rayon,279,Japan,shirt,779.38,2022,7,Steven Garcia,Andre Knight
rayon,380,South Korea,skirt,140.1,2020,8,Kimberly Washington,Michelle Johnson
wool,193,Spain,bags,465.78,2021,11,Tracey Mcconnell,John Taylor
rayon,64,United Kingdom,dress,168.77,2022,6,Ryan Walters,Christopher Ellis
linen,187,Australia,blouse,403.96,2022,4,Jessica Miller,Laura Garrison
silk,133,Germany,jacket,99.32,2020,8,Christopher Shepard,Nicholas Lee
rayon,94,India,pants,456.36,2022,12,Patricia Wong,Rachel Romero
linen,398,New Zealand,jacket,543.0,2021,1,Megan Evans,Mrs. Jenna Flynn
wool,304,South Korea,dress,357.58,2021,6,Richard Taylor,Matthew Rice
wool,123,France,blouse,242.6,2020,3,Benjamin Jones,Tammy Arias
rayon,459,United Kingdom,pants,236.48,2020,12,Eric Sawyer,Gabriella Jones
rayon,469,Spain,pants,580.1,2020,12,Ashley Adams,Ms. Paula House
batik,480,Australia,shawl,408.45,2020,6,Bethany Ramirez,Mariah Williams
polyester,95,Italy,headwear,876.56,2022,12,Robert Francis,James Wagner MD
rayon,442,China,blouse,982.94,2021,11,Jason Giles,Patricia Phillips
rayon,295,United States,blouse,302.16,2020,10,Kevin Dominguez,Andrew Martinez
polyester,249,Italy,skirt,235.03,2021,2,Stephen Allen,Wendy Reyes
wool,222,Australia,bags,292.68,2022,7,Emily Conner,John Vasquez
rayon,442,Hong Kong,shirt,395.26,2020,12,Meredith Kennedy,Cassandra Beard
linen,163,France,headwear,263.79,2021,1,Fernando Crawford,Richard Bond
silk,238,Japan,skirt,557.6,2021,9,Paul Khan,David Lopez
wool,300,Italy,headwear,355.21,2021,1,Brittany Robertson,Michelle Jones
batik,189,United Kingdom,bags,164.74,2022,10,Alexis Stanley,Kristy Wilson
linen,419,South Korea,shawl,489.64,2021,4,James Garcia,Michael Vasquez
rayon,77,New Zealand,bags,766.62,2020,1,Kaitlyn White MD,Melissa Nguyen
cotton,109,Netherlands,bags,32.34,2021,10,Jason Mcguire,Karen Garcia
rayon,11,Italy,headwear,918.12,2021,11,Maureen King,Luis Rice
batik,5,India,dress,8.04,2021,6,Tiffany Martin,Maria Hart DDS
cotton,313,South Korea,pants,336.15,2020,5,Ashley Walker,Jessica Stone
wool,172,Canada,shirt,653.13,2021,2,Brandon May,Brianna Graham
silk,133,Hong Kong,jacket,6.17,2021,3,Scott Mason,Michael Hernandez
polyester,498,France,pants,408.88,2021,6,Bruce Wilson,Catherine King
batik,50,Japan,dress,565.78,2021,11,Julie Rodriguez,Jimmy Jones
batik,279,Australia,skirt,853.99,2022,8,Juan Alvarez,Angela Dillon
wool,287,Italy,blouse,227.2,2020,9,Anthony Joseph,Matthew Flynn
linen,265,United Kingdom,scarf,255.0,2021,2,Dennis Hodges,Jonathan Knight
rayon,327,Japan,scarf,24.59,2021,4,Sarah Ruiz,Daniel Williams
polyester,19,Netherlands,shirt,648.46,2022,5,Shannon Reynolds,Maria Martinez
linen,266,India,blouse,533.95,2022,1,Nancy Gonzales,Elizabeth Gregory
rayon,193,Japan,scarf,318.07,2021,10,Douglas Graves,Andrea Escobar
wool,378,New Zealand,blouse,893.93,2021,1,Deborah Ruiz,Travis Williams
batik,138,Germany,headwear,360.61,2021,6,Tammy Oconnell,Angela Harris
linen,176,Italy,skirt,350.49,2022,3,Logan Martinez,Tricia Salazar
batik,302,Australia,bags,858.16,2021,2,Sean Cole,Michelle Olson MD
cotton,497,Netherlands,jacket,278.07,2020,7,Amanda Martinez,Connie Swanson
wool,43,Spain,shirt,645.37,2020,8,Kristin Parker,Elizabeth Martinez
wool,345,Italy,bags,696.01,2021,10,Kevin Carter,Erin Suarez
wool,363,Hong Kong,skirt,422.1,2020,2,Steven Pham,Fernando Jackson
silk,38,France,bags,128.75,2022,8,Mrs. Gwendolyn Davis,Jordan Holland
polyester,76,New Zealand,dress,643.25,2021,1,Cheryl Perez,Michael White
